stud_kod;predmet_name;ball;year
50102;Русский язык;76;2014
50102;Английский язык;94;2014
50102;Математика;56;2014
50102;Обществознание;70;2014
50111;Русский язык;72;2014
50111;Английский язык;77;2014
50111;Математика;60;2014
50111;Обществознание;67;2014
50111;Физика;59;2014
50144;Русский язык;84;2014
50144;Английский язык;87;2014
50144;Математика;68;2014
50144;Обществознание;88;2014
50146;Русский язык;84;2014
50146;Английский язык;72;2014
50146;Математика;74;2014
50146;Обществознание;75;2014
50146;История;70;2014
50159;Русский язык;95;2014
50159;Математика;48;2014
50159;Обществознание;80;2014
50179;Русский язык;71;2014
50179;Математика;44;2014
50179;Обществознание;70;2014
50200;Русский язык;73;2014
50200;Математика;72;2014
50200;Обществознание;72;2014
50212;Русский язык;79;2014
50212;Математика;66;2014
50212;Обществознание;71;2014
50212;Физика;55;2014
50216;Русский язык;92;2014
50216;Английский язык;90;2014
50216;Математика;79;2014
50216;Обществознание;65;2014
50227;Русский язык;87;2014
50227;Математика;90;2014
50227;Обществознание;83;2014
50229;Русский язык;87;2014
50229;Математика;81;2014
50229;Обществознание;98;2014
50233;Русский язык;65;2014
50233;Математика;56;2014
50233;Обществознание;78;2014
50237;Русский язык;95;2014
50237;Английский язык;92;2014
50237;Математика;68;2014
50237;Обществознание;72;2014
50239;Русский язык;71;2014
50239;Математика;68;2014
50239;Обществознание;72;2014
50246;Русский язык;73;2014
50246;Английский язык;39;2014
50246;Математика;40;2014
50246;Обществознание;62;2014
50254;Русский язык;100;2014
50254;Английский язык;95;2014
50254;Математика;79;2014
50254;Обществознание;90;2014
50255;Русский язык;71;2014
50255;Математика;44;2014
50255;Обществознание;58;2014
50257;Русский язык;71;2014
50257;Математика;60;2014
50257;Обществознание;58;2014
50287;Русский язык;67;2014
50287;Математика;79;2014
50287;Обществознание;90;2014
50298;Русский язык;79;2014
50298;Английский язык;89;2014
50298;Математика;63;2014
50298;Обществознание;67;2014
50315;Русский язык;92;2014
50315;Английский язык;100;2014
50315;Математика;87;2014
